index,Centre Name,Operating Hours,Address,postal_code,latitude,longitude
225,Lions Befrienders AAC @Tampines 499C,Mon - Fri: 9.00am - 6.00pm,"499C Tampines Ave 9, #01-256, 523499",523499,1.35954027648641,103.956108837804
222,Fei Yue Active Ageing Centre (Senja),Mon - Fri: 9.30am - 6.00pm,"634B Senja Road, #02-227, 672634",672634,1.38611988630201,103.758328624429
228,TOUCHpoint@Yishun 162,Mon - Fri: 8.00am - 5.00pm,"162 Yishun Street 11, #01-270, 760162",760162,1.43305540741239,103.832397917463
223,Fei Yue Active Ageing Centre (Serangoon),Mon - Fri: 9.30am - 6.00pm,"223A Serangoon Avenue 4, #01-217, 551223",551223,1.35784166371874,103.871144562235
234,Fei Yue Active Ageing Centre (Brickland),Mon - Fri: 9.30am - 6.00pm,"809A Choa Chu Kang Avenue 1, #01-628, 681809",681809,1.37520977307986,103.745018192833
239,TOUCHpoint@Geylang Bahru,Mon - Fri: 8.00am - 5.00pm,"61 Geylang Bahru, #01-3293, 330061",330061,1.32231126658548,103.869263053603
231,Precious Active Ageing Centre (Tampines Greenwood),Mon - Fri: 8.30am - 6.00pm,"868C Tampines Ave 8, #01-560, 523868",523868,1.35585780112316,103.933334387633
236,Chinatown Active Ageing Centre (Chin Swee),Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"51 Chin Swee Road, #04-83, 160051",160051,1.2874030079153,103.842029778891
230,Precious Active Ageing Centre (Punggol Emerald),Mon - Fri: 8.30am - 6.00pm,"264A Punggol Way, #01-306, 821264",821264,1.40597704114999,103.898544055197
237,Chinatown Active Ageing Centre (Jalan Kukoh),Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"8 Jalan Kukoh, #04-35, 162008",162008,1.2873776268224,103.839407060595
235,Chinatown Active Ageing Centre (Banda),Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"5 Banda Street, #03-68, 050005",050005,1.28119737026913,103.843437320613
232,Precious Active Ageing Centre (Treegrove@Woodlands),Mon - Fri: 8.30am - 6.00pm,"887 Woodlands Drive 50, #01-01, 730887",730887,1.4375511678734,103.794699670585
238,Precious Active Ageing Centre (Punggol Ripples),Mon - Fri: 8.30am - 6.00pm,"211B Punggol Walk, #01-627, 822211",822211,1.40116989540271,103.899920878173
233,Fei Yue Active Ageing Centre (Buangkok Green),Mon - Fri: 9.30am – 6.00pm,"582A Buangkok Green, #02-540, 531582",531582,1.37926915596285,103.88698739385
240,Tzu Chi SEEN @ Bukit Batok,Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm | (Closed on Sunday and Public Holidays),"230A Bukit Batok Street 21, #02-423, 651230",651230,1.34755153967044,103.755783055819
