POSTAL,LATITUDE,LONGITUDE
804248,1.37972955783572,103.858783028692
549936,1.39775020428346,103.891230426312
804943,1.37900738794393,103.85917259504
804804,1.3792220399206,103.859935065733
804813,1.37923647026046,103.85998647368
804603,1.37929517016374,103.860195592544
804592,1.37897452212879,103.860452129044
806145,1.37860180368486,103.861303262861
806009,1.37868978810355,103.861614471134
806002,1.37873122195192,103.861773309636
806142,1.37855780489066,103.861147632895
804958,1.37896549204435,103.862603782528
806000,1.37880725825913,103.862030097841
806006,1.37864580301612,103.861458893921
805961,1.37890993701332,103.862393303232
804956,1.37893923527345,103.862496937806
805963,1.37888056484396,103.86228940647
806003,1.37875938949637,103.861873055138
806007,1.37866049664725,103.86151086541
806010,1.37870449486981,103.861666490222
806335,1.37852841788488,103.861043686933
804957,1.37895392504933,103.862548899788
806144,1.37858710375356,103.86125126744
806336,1.37851381840356,103.860992046995
804416,1.37975031653461,103.85961786324
804263,1.37952962041074,103.860240704721
804939,1.37912432118907,103.859588489586
804467,1.37970563370165,103.859475320364
804252,1.37976333888757,103.858888006891
804799,1.37887157016115,103.860089133959
804590,1.3789591868442,103.860400208135
804596,1.37893025966278,103.860297505391
804940,1.37896356474855,103.859016725742
804273,1.37945672063705,103.85998188021
804584,1.37911880011581,103.858801672154
804946,1.37910997459846,103.859537461328
804601,1.37928054411743,103.860143488595
804234,1.37985143528191,103.85920132281
804482,1.37967662491353,103.859372139729
804262,1.37994210164782,103.860251474062
804216,1.38002635047216,103.859824514965
804488,1.37964740179632,103.859268205164
804210,1.38005578843802,103.859929030776
804419,1.37935560678091,103.859637518996
804587,1.37954463636149,103.858902698288
804802,1.3792076197073,103.859883693688
804525,1.37919701343929,103.859061236167
804274,1.37979166975361,103.859777700219
804214,1.38001157469017,103.859772054434
804417,1.37934334608887,103.859581665556
804941,1.3789779863504,103.859068019991
804278,1.37982082906901,103.859881581487
804954,1.37903671343812,103.859276893486
804484,1.37966203908538,103.859320264784
804415,1.3793286817069,103.859529514012
804418,1.37976263716688,103.859674269626
